Articulo_ID,CUI,Fecha_Publicacion_Articulo,Titulo_Articulo,Descripcion_Articulo,Medio,URL_Acortada,Pais_Origen_Articulo,Cod_Continente,Idioma,Categoria_tematica,Relevancia_Mencion,Frecuencia_Mencion,Impacto_Articulo,Keywords,Clasificacion_Sust_Estup_Decomisada,Tipo_Sus_Estup_Decomisada,Cant_Sust_Estup_Sintetica_incautada,Unidad,Fueza_interviniente,Ubicacion_Secuestro,Region,Sub region,Pais,Provincia,Distrito,Alfa_2,ISO_3166_2,Geo_Pais,Geo_Prov,Geo_Distrito,Fecha,Dia,Semana,Quincena,Mes_Largo,Trimestre,Año
A0000001,A1,6/01/2025,ATRAPARON A 12 ARGENTINOS POR VENDER TUSI Y LSD EN FIESTAS DE PUNTA DEL ESTE,Los capturó la Brigada Antidrogas de Maldonado tras seguimientos y allanamientos simultáneos,www.viaszeta.com,https://tinyurl.com/4nwr435t,Argentina,SA,ES,Incidente,Alta,Media,Medio,"TUSI, LSD, Cristal, Marihuana, Fiesta Electronica, Argentinos Detenidos, Banda ""Young Rich Gang""",Alucinogeno,TUSI,"0,00",Sin datos,Brigada Antidrogas Maldonado,Punta del Este,America,America del Sur,Uruguay,Departamento de Maldonado,Punta del Este,UY,ISO 3166-2:UY,"-32.953025, -55.974972","-34.908106, -54.962384","-34.959237, -54.942271",6/01/2025,6,2,1,Enero,T1,2025
,A1,6/01/2025,,,,,,,,,,,,,Alucinogeno,LSD,"0,00",Sin datos,,,,,,,,,,"-32.953025, -55.974972","-34.908106, -54.962384","-34.959237, -54.942271",6/01/2025,6,2,1,Enero,T1,2025
,A1,6/01/2025,,,,,,,,,,,,,Estimulante sintetico,Cristal,"0,00",Sin datos,,,,,,,,,,"-32.953025, -55.974972","-34.908106, -54.962384","-34.959237, -54.942271",6/01/2025,6,2,1,Enero,T1,2025
A0000002,A2,7/01/2025,Incautan cargamento de ketamina oculto en aire acondicionado de un bus en el Suroeste de Antioquia,Son en total 150 frascos de ketamina ocultos en una caleta del bus. Dos hombres fueron capturados.,www.caracol.com.co,https://tinyurl.com/33tjxf5j,Colombia,SA,ES,Incidente,Alta,Media,Medio,"Ketamina, Ducto Aires Acondicionado, Transporte Publico",Anestesico disociativo,Ketamina,150,Frascos,Departamento de Policia Antioquia,La Pintada,America,America del Sur,Colombia,Antioquia,La Pintada,CO,ISO 3166-2:CO,"4.068636, -72.886327","6.493807, -75.552400","5.746478, -75.606520",7/01/2025,7,2,1,Enero,T1,2025
A0000003,A3,10/01/2025,Caen 2 mexicanos en la mayor incautación de drogas en Chile,Las autoridades vinculan a los mexicanos detenidos con las operaciones del Cartel Jalisco Nueva Generación (CJNG),www.diario.mx,https://tinyurl.com/y5wkaahc,Mexico,NA,ES,Incidente,Media,Media,Medio,"Metanfetamina, Centro de Acopio, Laboratorio, Cártel Jalisco Nueva Generación (CJNG)",Estimulante sintetico,Metanfetaminas,844,KG,Carabineros (OS7),Lolol,America,America del Sur,Chile,Colchagua,Lolol,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-34.646047, -71.466527","-34.730914, -71.656308",10/01/2025,10,2,1,Enero,T1,2025
A0000004,A4,12/01/2025,"Zidane, el perro que volvió a detectar drogas en una fiesta electrónica",El perro Zidane detectó droga,www.lanacion.com.ar,https://tinyurl.com/mpt66pk5,Argentina,SA,ES,Incidente,Media,Media,Medio,"MDMA, TUSI, LSD, Cristal Ice, Cocaina, Efectivo de la Policia de la Provincia de Buenos Aires",Estimulante y empatogeno,MDMA,50,Pastillas,Tráfico de Drogas Ilícitas Mar del Plata,Mar del Plata,America,America del Sur,Argentina,Buenos Aires,Mar del Plata,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-36.167212, -58.079474","-38.015021, -57.549967",12/01/2025,12,3,1,Enero,T1,2025
,A4,12/01/2025,,,,,,,,,,,,,Alucinogeno,LSD,1,Gomita,,,,,,,,,,"-37.650894, -65.897084","-36.167212, -58.079474","-38.015021, -57.549967",12/01/2025,12,3,1,Enero,T1,2025
,A4,12/01/2025,,,,,,,,,,,,,Alucinogeno,TUSI,8,Envoltorios,,,,,,,,,,"-37.650894, -65.897084","-36.167212, -58.079474","-38.015021, -57.549967",12/01/2025,12,3,1,Enero,T1,2025
,A4,12/01/2025,,,,,,,,,,,,,Estimulante sintetico,Metanfetaminas,18,Envoltorios,,,,,,,,,,"-37.650894, -65.897084","-36.167212, -58.079474","-38.015021, -57.549967",12/01/2025,12,3,1,Enero,T1,2025
A0000005,A5,13/01/2025,"VILLA DEL DIQUE: FPA INCAUTÓ ÉXTASIS, LSD Y MARIHUANA EN UNA FIESTA ELECTRÓNICA",Grupos operativos de la Fuerza Policial Antinarcotráfico efectuaron intensos controles preventivos en una fiesta electrónica,www.mpfcordoba.gob.ar,https://tinyurl.com/46v82xhd,Argentina,SA,ES,Incidente,Alta,Media,Medio,"Extasis, LSD, Marihuana, Fiesta Electronica, Escaner Movil, Binomio Canino, Inspeccion",Estimulante y empatogeno,MDMA,"0,00",Sin datos,Fuerza Policial Antinarcotráfico,Villa del Dique,America,America del Sur,Argentina,Cordoba,Villa del Dique,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-32.681337, -63.045247","-32.174237, -64.452472",13/01/2025,13,3,1,Enero,T1,2025
