Pais_Origen,Idioma,Codigo_Continente,Categ_Tematica,Relevancia_Mencion,Frecuencia_Mencion,Impacto_Articulo,Categoria_Sust_Estup,Tipo_Sus_Estup_Sintetica_Decomisada,Cant_Sust_Estup_Sintetica_incautada,Unidad,Forma
Anguila ,EN,NA,Politica,Alta,Alta,Alta,Estimulante y empatogeno,,,Gramos,Capsula
Antigua y Barbuda,ES,SA,Economia,Media,Media,Media,Opioide sintetico,,,kilos,Cristal
Republica Argentina,,,Seguridad,Baja,Baja,Baja,Anestesico disociativo,,,Unidades,Hierba
Aruba ,,,,,,,Alucinogeno,,,Sin Especificar,Impregnacion
Commonwealth de las Bahamas,,,,,,,Depresor,,,Volumen,Liquido
Barbados,,,,,,,Estimulante sintetico,,,,Pastillas
Belice,,,,,,,NPS,,,,Polvo Cristalino
Bermudas ,,,,,,,,,,,
Estado Plurinacional de Bolivia,,,,,,,,,,,
San Eustaquio,,,,,,,,,,,
Republica Federativa del Brasil,,,,,,,,,,,
Canada,,,,,,,,,,,
Islas Caiman,,,,,,,,,,,
Republica de Chile,,,,,,,,,,,
Republica de Colombia,,,,,,,,,,,
Republica de Costa Rica,,,,,,,,,,,
Republica de Cuba,,,,Relevancia_Mencion,Frecuencia_Mencion,Impacto_Articulo,,,,,
Curazao,,,,Alta (aparece  en titulo),Alta (sustanacia mencionada varias veces),"Alta (incautacion masiva, internacional)",,,,,
Commonwealth de Dominica,,,,Media (cuerpo texto),Media (se menciona una o dos veces),"Media (incautacion menor, local)",,,,,
Republica Dominicana,,,,Baja (referencia),Bajo (una sola vez o no se menciona),Baja (impacto limitado),,,,,
Republica del Ecuador,,,,,,,,,,,
Republica de El Salvador,,,,,,,,,,,
Islas Malvinas,,,,,,,,,,,
Guayana Francesa (Francia),,,,,,,,,,,
Groenlandia,,,,,,,,,,,
Granada,,,,,,,,,,,
Guadalupe (Francia),,,,,,,,,,,
Republica de Guatemala,,,,,,,,,,,
Republica Guyana,,,,,,,,,,,
Republica de Haiti,,,,,,,,,,,
Republica de Honduras,,,,,,,,,,,
Jamaica,,,,,,,,,,,
Martinica,,,,, ,,,,,,
Estados Unidos Mexicanos,,,,,,,,,,,
Montserrat ,,,,,,,,,,,
Republica de Nicaragua,,,,,,,,,,,
Republica de Panama,,,,,,,,,,,
Republica del Paraguay,,,,,,,,,,,
Republica del Peru,,,,,,,,,,,
Puerto Rico ,,,,,,,,,,,
San Bartolome,,,,,,,,,,,
Republica de Suriname,,,,,,,,,,,
Santa Lucia,,,,,,,,,,,
San Martin (Francia),,,,,,,,,,,
Saint Pierre y Miquelon (Francia),,,,,,,,,,,
San Vicente y las Granadinas,,,,,,,,,,,
San Martin (Holanda),,,,,,,,,,,
Islas Georgias del Sur y Sandwich del Sur ​,,,,,,,,,,,
Suriname,,,,,,,,,,,
Republica de Trinidad y Tobago,,,,,,,,,,,
Turcas y Caicos ,,,,,,,,,,,
Estados Unidos de America,,,,,,,,,,,
Republica Oriental del Uruguay,,,,,,,,,,,
Republica Bolivariana de Venezuela,,,,,,,,,,,
Islas Virgenes (GBR),,,,,,,,,,,
Islas Virgenes (U.S.),,,,,,,,,,,
Sin Especificar,,,,,,,,,,,
